Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022
Grant Williams,"$2,834,786","$2,957,343","$2,957,343","$2,957,343"
Jarrett Allen,"$2,831,212","$4,627,463","$4,627,463","$4,627,463"
Pascal Siakam,"$2,801,430","$36,167,554","$36,167,554","$36,167,554"
Chandler Hutchison,"$2,778,181","$2,891,870","$2,891,870","$2,891,870"
Patrick Patterson,"$2,777,315","$4,514,873","$4,514,873","$4,514,873"
Dejounte Murray,"$2,765,573","$16,907,827","$16,907,827","$16,907,827"
Alec Burks,"$2,763,559","$7,101,145","$7,101,145","$7,101,145"
Damian Jones,"$2,745,707","$1,760,235","$1,760,235","$1,760,235"
Darius Bazley,"$2,721,577","$2,839,464","$2,839,464","$2,839,464"
OG Anunoby,"$2,718,004","$4,582,860","$4,582,860","$4,582,860"
Markieff Morris,"$2,691,902","$2,759,496","$2,759,496","$2,759,496"
Luke Kornet,"$2,680,124","$2,662,929","$2,662,929","$2,662,929"
Aaron Holiday,"$2,667,260","$2,776,121","$2,776,121","$2,776,121"
Ty Jerome,"$2,612,800","$2,725,703","$2,725,703","$2,725,703"
Willie Cauley-Stein,"$2,593,745","$4,852,449","$4,852,449","$4,852,449"
Austin Rivers,"$2,589,965","$4,650,123","$4,650,123","$4,650,123"
Carmelo Anthony,"$2,571,763","$3,035,447","$3,035,447","$3,035,447"
Anfernee Simons,"$2,560,484","$2,665,343","$2,665,343","$2,665,343"
Nassir Little,"$2,508,025","$2,616,346","$2,616,346","$2,616,346"
Moritz Wagner,"$2,457,996","$2,821,420","$2,821,420","$2,821,420"
Dylan Windler,"$2,424,977","$2,529,712","$2,529,712","$2,529,712"
Ben McLemore,"$2,416,393","$3,424,681","$3,424,681","$3,424,681"
Mike Muscala,"$2,416,393","$2,702,026","$2,702,026","$2,702,026"
Michael Carter-Williams,"$2,416,393","$3,905,630","$3,905,630","$3,905,630"
Noah Vonleh,"$2,382,333","$506,222","$506,222","$506,222"
Torrey Craig,"$2,382,333","$1,986,964","$1,986,964","$1,986,964"
Edmond Sumner,"$2,382,333","$2,556,412","$2,556,412","$2,556,412"
Landry Shamet,"$2,376,520","$2,473,613","$2,473,613","$2,473,613"
Mfiondu Kabengele,"$2,354,936","$2,878,748","$2,878,748","$2,878,748"
Kyle Kuzma,"$2,352,077","$4,215,924","$4,215,924","$4,215,924"
Jordan Poole,"$2,340,356","$2,441,941","$2,441,941","$2,441,941"
Tony Bradley,"$2,337,497","$4,192,113","$4,192,113","$4,192,113"
Keldon Johnson,"$2,323,489","$2,423,904","$2,423,904","$2,423,904"
Derrick White,"$2,320,487","$4,161,607","$4,161,607","$4,161,607"
Robert Williams,"$2,307,909","$2,402,459","$2,402,459","$2,402,459"
Josh Hart,"$2,303,906","$4,131,871","$4,131,871","$4,131,871"
Jacob Evans,"$2,294,044","$2,387,547","$2,387,547","$2,387,547"
Dzanan Musa,"$2,277,034","$2,370,362","$2,370,362","$2,370,362"
Omari Spellman,"$2,260,596","$2,353,177","$2,353,177","$2,353,177"
Nerlens Noel,"$2,242,808","$5,917,621","$5,917,621","$5,917,621"
James Ennis,"$2,242,808","$3,905,630","$3,905,630","$3,905,630"
Glenn Robinson III,"$2,242,808","$1,379,186","$1,379,186","$1,379,186"
Bruno Caboclo,"$2,198,061","$2,400,890","$2,400,890","$2,400,890"
JR Smith,"$2,080,336","$1,724,000","$1,724,000","$1,724,000"
JaKarr Sampson,"$2,069,229","$2,228,418","$2,228,418","$2,228,418"
Raul Neto,"$2,069,229","$2,228,418","$2,228,418","$2,228,418"
Mario Hezonja,"$2,069,229","$2,339,840","$2,339,840","$2,339,840"
Pat Connaughton,"$2,052,439","$5,844,565","$5,844,565","$5,844,565"
Jahlil Okafor,"$2,027,944","$2,228,418","$2,228,418","$2,228,418"
Rodions Kurucs,"$2,024,073","$2,106,853","$2,106,853","$2,106,853"
Willy Hernangomez,"$1,997,270","$2,055,953","$2,055,953","$2,055,953"
Christian Wood,"$1,959,894","$15,404,602","$15,404,602","$15,404,602"
Derrick Jones,"$1,959,894","$10,957,067","$10,957,067","$10,957,067"
Georges Niang,"$1,959,894","$2,110,882","$2,110,882","$2,110,882"
Shaquille Harrison,"$1,930,361","$1,082,980","$1,082,980","$1,082,980"
Furkan Korkmaz,"$1,930,361","$2,086,311","$2,086,311","$2,086,311"
Semi Ojeleye,"$1,927,927","$2,074,658","$2,074,658","$2,074,658"
Dwayne Bacon,"$1,927,927","$1,986,964","$1,986,964","$1,986,964"
Dillon Brooks,"$1,927,927","$13,492,176","$13,492,176","$13,492,176"
Sterling Brown,"$1,927,927","$1,986,964","$1,986,964","$1,986,964"
Frank Jackson,"$1,927,927","$827,419","$827,419","$827,419"
Damyean Dotson,"$1,927,927","$2,367,048","$2,367,048","$2,367,048"
Abdel Nader,"$1,927,927","$2,074,658","$2,074,658","$2,074,658"
Wesley Iwundu,"$1,927,927","$1,986,964","$1,986,964","$1,986,964"
Royce O'Neale,"$1,927,927","$10,059,956","$10,059,956","$10,059,956"
Monte Morris,"$1,891,847","$2,040,049","$2,040,049","$2,040,049"
Chris Boucher,"$1,891,847","$7,692,907","$7,692,907","$7,692,907"
Mitchell Robinson,"$1,857,876","$1,969,219","$1,969,219","$1,969,219"
Isaiah Roby,"$1,786,749","$1,796,567","$1,796,567","$1,796,567"
Brad Wanamaker,"$1,722,066","$2,662,929","$2,662,929","$2,662,929"
Thanasis Antetokounmpo,"$1,722,066","$2,013,876","$2,013,876","$2,013,876"
Theo Pinson,"$1,722,066","$949,401","$949,401","$949,401"
Shake Milton,"$1,722,066","$2,013,876","$2,013,876","$2,013,876"
Wenyen Gabriel,"$1,722,066","$1,917,976","$1,917,976","$1,917,976"
Devonte Graham,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Jalen Brunson,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Keita Bates-Diop,"$1,687,706","$531,538","$531,538","$531,538"
Sviatoslav Mykhailiuk,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Khyri Thomas,"$1,687,706","$1,256,053","$1,256,053","$1,256,053"
Bruce Brown,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Alize Johnson,"$1,687,706","$735,663","$735,663","$735,663"
De'Anthony Melton,"$1,687,706","$11,328,353","$11,328,353","$11,328,353"
Kendrick Nunn,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Duncan Robinson,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Jarred Vanderbilt,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
